Receptor,Ligand,Action,Smiles
D1R,5-hydroxytryptamine,Agonist,NCCc1c[nH]c2ccc(O)cc12
D1R,apomorphine,Agonist,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
D1R,bromocriptine,Agonist,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
D1R,cabergoline,Agonist,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
D1R,clozapine,Antagonist,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
D1R,lisuride,Agonist,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
D1R,pergolide,Agonist,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
D1R,(+)-butaclamol,Antagonist,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
D1R,chlorpromazine,Antagonist,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
D1R,haloperidol,Antagonist,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
D1R,ketanserin,Antagonist,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
D1R,spiperone,Antagonist,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
D1R,thioridazine,Antagonist,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
D1R,fluphenazine,Antagonist,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
D1R,noradrenaline,Agonist,NCC(O)c1ccc(O)c(O)c1
D1R,(+)-ADTN,Agonist,NC1CCc2cc(O)c(O)cc2C1
D1R,(+)-SKF-82526,Agonist,Oc1ccc([C@@H]2CNCCc3c2cc(O)c(O)c3Cl)cc1
D1R,N-propylnorapomorphine,Agonist,CCCN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3
D1R,SKF-38393,Agonist,Oc1cc2c(cc1O)C(c1ccccc1)CNCC2
D1R,fenoldopam,Agonist,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
D1R,dopamine,Agonist,NCCc1ccc(O)c(O)c1
D1R,rotigotine,Agonist,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1
D1R,SCH-23390,Antagonist,CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1
