Ligand,Smiles
5-hydroxytryptamine,NCCc1c[nH]c2ccc(O)cc12
apomorphine,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
bromocriptine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
cabergoline,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
lisuride,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
pergolide,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
(+)-butaclamol,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
ketanserin,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
spiperone,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
thioridazine,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
fluphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
noradrenaline,NCC(O)c1ccc(O)c(O)c1
(+)-ADTN,NC1CCc2cc(O)c(O)cc2C1
(+)-SKF-82526,Oc1ccc([C@@H]2CNCCc3c2cc(O)c(O)c3Cl)cc1
N-propylnorapomorphine,CCCN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3
SKF-38393,Oc1cc2c(cc1O)C(c1ccccc1)CNCC2
fenoldopam,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
dopamine,NCCc1ccc(O)c(O)c1
rotigotine,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1
SCH-23390,CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1
SKF-83566,CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1
[<sup>125</sup>I]SCH23982,CN1CCc2cc([125I])c(O)cc2[C@@H](c2ccccc2)C1
flupentixol,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
(-)-SKF-82526,Oc1ccc([C@H]2CNCCc3c2cc(O)c(O)c3Cl)cc1
ecopipam,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21
A68930,NC[C@@H]1O[C@H](c2ccccc2)Cc2c1ccc(O)c2O
mesoridazine,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21
prochlorperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
SKF-83959,Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3Cl)c1
periciazine,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2
A77636,NC[C@@H]1O[C@H](C23CC4CC(CC(C4)C2)C3)Cc2c1ccc(O)c2O
mevidalen,C[C@H]1c2cccc(CCC(C)(C)O)c2C[C@H](CO)N1C(=O)Cc1c(Cl)cccc1Cl
SKF-82958,C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1
LY3154885,C[C@H]1c2cccc(-c3cnn(C)c3)c2C[C@H](CO)N1C(=O)Cc1c(Cl)cccc1Cl
UCM-1306,CS(=N)(=O)c1ccc(-c2ccccc2OCF)cc1
tavapadon,Cc1cc(Oc2ncccc2C(F)(F)F)ccc1-c1c(C)c(=O)[nH]c(=O)n1C
quinpirole,CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21
asenapine,CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1
aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
nafadotride,CCCCN1CCCC1CNC(=O)c1cc(C#N)c2ccccc2c1OC
olanzapine,Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1
piribedil,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1
quetiapine,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
roxindole,Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1
terguride,CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
ziprasidone,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
pimozide,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
raclopride,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC
