Receptor,Smiles,Ligand_ID,Action,Database,Ki
5HT2A,CC(=O)Nc1ccc(C(=O)CCCN2CCN(c3ccccn3)CC2)cc1.O=C(O)C(=O)O,CHEMBL4875079,Modulator,ChEMBL,108.0
5HT2A,CC(=O)Nc1ccc(CCCCN2CCN(c3ccccn3)CC2)cc1,CHEMBL4859988,Modulator,ChEMBL,384.5
5HT2A,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,CHEMBL2111101,Agonist,ChEMBL,0.5
5HT2A,CC(C)n1nc2c(c1-c1ccc(F)cc1)CCNCC2,CHEMBL4753511,Antagonist,ChEMBL,7.943
5HT2A,CC(N)Cn1ncc2ccc(O)cc21,D0Y0SA,Antagonist,TTD,105.0
5HT2A,CC1(CCCCN2CCN(c3ccccn3)CC2)Cc2cc(Cl)ccc2C1=O,CHEMBL4871868,Modulator,ChEMBL,575.44
5HT2A,CC1(CCCN2CCN(c3ccccn3)CC2)Cc2cc(Cl)ccc2C1=O,CHEMBL4846823,Modulator,ChEMBL,200.0
5HT2A,CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21,2.0,Agonist,GtoPharm,3311.3
5HT2A,CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1,D08GJH,Antagonist,TTD,0.81
5HT2A,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,CHEMBL2028019,Antagonist,ChEMBL,218.78
5HT2A,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CHEMBL71,Antagonist,ChEMBL,12.02
5HT2A,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,D0T6QX,Antagonist,TTD,0.5
5HT2A,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CHEMBL42,Antagonist,ChEMBL,1.4
5HT2A,CN1CCN2c3ccccc3Cc3ccccc3C2C1,CHEMBL6437,Antagonist,ChEMBL,1.905
5HT2A,CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,206.0,Antagonist,GtoPharm,45.71
5HT2A,COc1cc(CC(C)N)c(OC)cc1Br,163.0,Agonist,GtoPharm,0.6
5HT2A,COc1cc(CC(C)N)c(OC)cc1I,D01TSX,Antagonist,TTD,0.65
5HT2A,COc1cc(C[C@@H](C)N)c(OC)cc1I,157.0,Agonist,GtoPharm,0.6
5HT2A,COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1,187.0,Antagonist,GtoPharm,2290.87
5HT2A,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2,192.0,Antagonist,GtoPharm,125.89
5HT2A,COc1ccc(C(=O)N(Cc2ccc(C)cc2)C2CCN(C)CC2)cc1,CHEMBL5181814,Antagonist,ChEMBL,2.1
5HT2A,COc1ccc(Cl)cc1[C@H]1C[C@@H]1CNCCCCOc1ccc2c(c1)NC(=O)CC2,CHEMBL4862770,Agonist,ChEMBL,2089.3
5HT2A,COc1ccc(Cl)cc1[C@H]1C[C@@H]1CNCCCOc1ccc2ccc(=O)[nH]c2c1,CHEMBL4875081,Agonist,ChEMBL,1160.0
5HT2A,COc1ccc(F)cc1[C@H]1C[C@@H]1CNCCCCOc1ccc2ccc(=O)[nH]c2c1,CHEMBL4862890,Agonist,ChEMBL,1412.54
5HT2A,COc1ccc(F)cc1[C@H]1C[C@@H]1CNCCCOc1ccc2ccc(=O)[nH]c2c1,CHEMBL4863832,Agonist,ChEMBL,519.6
5HT2A,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1OCCN(C)C,28.0,Agonist,GtoPharm,50.11872336272725
5HT2A,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,D0DY5G,Agonist,TTD,398.11
5HT2A,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,89.0,Antagonist,GtoPharm,3.16227766016838
5HT2A,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,100.0,Antagonist,GtoPharm,42.3
5HT2A,Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,193.0,Antagonist,GtoPharm,158.49
5HT2A,Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1,47.0,Antagonist,GtoPharm,2.0
5HT2A,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CHEMBL715,Antagonist,ChEMBL,0.42
5HT2A,Cc1ccc(N2CCN(CCCCc3ccc(F)cc3)CC2)nc1,CHEMBL3289648,Modulator,ChEMBL,138.04
5HT2A,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,CHEMBL85,Antagonist,ChEMBL,0.17
5HT2A,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,97.0,Antagonist,GtoPharm,0.38
5HT2A,Cl.Fc1ccc(CCCCN2CCN(c3cccc(-c4ccccc4)n3)CC2)cc1,CHEMBL4743284,Modulator,ChEMBL,263.03
5HT2A,Clc1ccc2c(c1)CC(CCN1CCN(c3ccccn3)CC1)C2,CHEMBL4866058,Modulator,ChEMBL,110.0
5HT2A,Clc1cccc(N2CCNCC2)c1,CHEMBL478,Agonist,ChEMBL,48.0
5HT2A,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,189.0,Antagonist,GtoPharm,1659.59
5HT2A,Fc1ccc(CCCCN2CCN(c3ccc(-c4ccccc4)cn3)CC2)cc1,CHEMBL4783987,Modulator,ChEMBL,147.0
5HT2A,Fc1ccc(CCCCN2CCN(c3ccc(Cl)cn3)CC2)cc1,CHEMBL4462108,Modulator,ChEMBL,9.2
5HT2A,Fc1ccc(CCCCN2CCN(c3cccnc3)CC2)cc1.O=C(O)C(=O)O,CHEMBL4753809,Modulator,ChEMBL,316.23
5HT2A,Fc1ccc2c(c1)CC(CCN1CCCN(c3ccccn3)CC1)C2,CHEMBL4474014,Antagonist,ChEMBL,42.66
5HT2A,NCCc1c[nH]c2ccc(C(N)=O)cc12,D02UWB,Agonist,TTD,5011.87
5HT2A,NCCc1c[nH]c2ccc(O)cc12,5.0,Agonist,GtoPharm,13.0
5HT2A,NCCc1c[nH]c2ccccc12,125.0,Agonist,GtoPharm,218.78
5HT2A,Nc1ccc(C(=O)CCCN2CCN(c3ccccn3)CC2)cc1,CHEMBL4861794,Modulator,ChEMBL,154.88
5HT2A,Nc1ccc(CCCCN2CCN(c3ccccn3)CC2)cc1,CHEMBL4845741,Modulator,ChEMBL,626.0
5HT2A,O=C(CCCN1C2CCC1CN(c1ccc(Cl)cn1)C2)c1ccc(F)cc1,CHEMBL4789472,Modulator,ChEMBL,51.0
5HT2A,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,CHEMBL54,Antagonist,ChEMBL,22.91
5HT2A,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,D05EQG,Antagonist,TTD,1.1
5HT2A,O=C(CCCN1CCCN(c2ccc(Cl)cn2)CC1)c1ccc(F)cc1,CHEMBL4574793,Modulator,ChEMBL,8.9
5HT2A,O=C(CCCN1CCCN(c2ccccn2)CC1)c1ccc(F)cc1,CHEMBL4533305,Modulator,ChEMBL,1.23
5HT2A,O=C(CCCN1CCN(c2ccc(Cl)cn2)CC1)c1ccc(F)cc1,CHEMBL4573441,Modulator,ChEMBL,46.0
5HT2A,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,CHEMBL340211,Modulator,ChEMBL,62.7
5HT2A,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc2c(c1)CCC2,CHEMBL4874069,Modulator,ChEMBL,346.74
5HT2A,O=C(CCCN1CCN(c2cccnc2)CC1)c1ccc(F)cc1.O=C(O)C(=O)O,CHEMBL4793296,Modulator,ChEMBL,305.0
5HT2A,O=C(O)C(=O)O.O=C1CCc2cc(OCCCN3CCCN(c4ccccn4)CC3)ccc2N1,CHEMBL4859722,Modulator,ChEMBL,1132.0
5HT2A,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,CHEMBL51,Antagonist,ChEMBL,2.0
5HT2A,O=C1CCc2cc(C(=O)CCCN3CCN(c4ccccn4)CC3)ccc2N1,CHEMBL4845947,Modulator,ChEMBL,3111.0
5HT2A,O=C1CCc2cc(CCCCN3CCN(c4ccccn4)CC3)ccc2N1,CHEMBL4857597,Modulator,ChEMBL,564.3
5HT2A,O=C1CCc2cc(OCCCN3CCN(c4ccccn4)CC3)ccc21,CHEMBL4870361,Modulator,ChEMBL,162.18
5HT2A,O=C1CCc2cc(OCCCN3CCN(c4ccccn4)CC3)ccc2N1,CHEMBL4865591,Modulator,ChEMBL,288.4
5HT2A,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,CHEMBL1112,Antagonist,ChEMBL,39.6
5HT2A,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,59.0,Antagonist,GtoPharm,0.5
5HT2A,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,98.0,Antagonist,GtoPharm,0.6
5HT2A,O=C1c2cc(Cl)c(Cl)cc2CC1CCN1CCN(c2ccccn2)CC1,CHEMBL4854456,Modulator,ChEMBL,158.49
5HT2A,O=C1c2cc(Cl)ccc2CC1CCN1CCN(c2ccccn2)CC1,CHEMBL4876297,Modulator,ChEMBL,122.0
5HT2A,O=C1c2ccc(Cl)cc2CC1CCCCN1CCN(c2ccccn2)CC1,CHEMBL4857665,Modulator,ChEMBL,440.3
5HT2A,O=C1c2ccc(Cl)cc2CC1CCCN1CCN(c2ccccn2)CC1,CHEMBL4862180,Agonist,ChEMBL,533.0
5HT2A,O=C1c2ccc(Cl)cc2CC1CCN1CCN(c2ccccn2)CC1,CHEMBL4872800,Modulator,ChEMBL,113.0
5HT2A,O=C1c2ccc(F)cc2CC1CCN1CCCN(c2ccc(Cl)cc2)CC1,CHEMBL1946124,Modulator,ChEMBL,192.0
5HT2A,O=C1c2ccc(F)cc2CC1CCN1CCCN(c2ccc(Cl)cn2)CC1,CHEMBL4558031,Modulator,ChEMBL,13.18
5HT2A,O=C1c2ccc(F)cc2CC1CCN1CCCN(c2ccccn2)CC1,CHEMBL4570411,Antagonist,ChEMBL,58.88
5HT2A,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,90.0,Antagonist,GtoPharm,19.0
5HT2A,OC(c1ccccc1)C1CCN(CCc2ccccc2)CC1,D05MFO,Antagonist,TTD,2.455
5HT2A,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,CHEMBL716,Modulator,ChEMBL,120.23
5HT2A,[11CH3]N1CCN(c2cccc3cc(S(=O)(=O)c4cccc(F)c4)cnc23)CC1,CHEMBL5201619,Antagonist,ChEMBL,0.16
5HT2B,C=C[C@H]1CN2CCc3c([nH]c4cccc(OC)c34)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,CHEMBL4848517,Agonist,ChEMBL,83.1
5HT2B,CC(C)c1cc(-c2ccc(F)c3ccccc23)nc(N)n1,188.0,Antagonist,GtoPharm,0.32
5HT2B,CC(C)n1nc2c(c1-c1ccc(F)cc1)CCNCC2,CHEMBL4753511,Antagonist,ChEMBL,25.12
5HT2B,CC(N)Cc1c[nH]c2ccc(O)cc12,152.0,Agonist,GtoPharm,6.92
5HT2B,CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12,161.0,Agonist,GtoPharm,46.77
5HT2B,CC(N)Cn1ncc2ccc(O)cc21,D0Y0SA,Antagonist,TTD,35.0
5HT2B,CC(O)C(C)OC(=O)[C@@H]1C[C@@H]2c3cccc4c3c(cn4C(C)C)C[C@H]2N(C)C1,183.0,Antagonist,GtoPharm,1.46
5HT2B,CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21,2.0,Agonist,GtoPharm,301.99
5HT2B,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,134.0,Agonist,GtoPharm,1.35
5HT2B,CC[C@H]1CN2CCc3c([nH]c4cccc(OC)c34)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,CHEMBL4859858,Agonist,ChEMBL,23.0
5HT2B,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,38.0,Modulator,GtoPharm,7.15
5HT2B,CN1CCN2c3ccccc3Cc3ccccc3C2C1,135.0,Antagonist,GtoPharm,8.98
5HT2B,CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,206.0,Antagonist,GtoPharm,1.92
5HT2B,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,102.0,Antagonist,GtoPharm,31.62
5HT2B,COC(=O)[C@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2CC[C@@H]1O,223.0,Antagonist,GtoPharm,1.07
5HT2B,COc1cc(C[C@@H](C)N)c(OC)cc1I,157.0,Agonist,GtoPharm,24.0
5HT2B,COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1,187.0,Antagonist,GtoPharm,812.83
5HT2B,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2,192.0,Antagonist,GtoPharm,7.24
5HT2B,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,191.0,Antagonist,GtoPharm,2.511886431509582
5HT2B,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,89.0,Antagonist,GtoPharm,1.13
5HT2B,C[C@H](N)Cc1cccc(C(F)(F)F)c1,216.0,Agonist,GtoPharm,10.0
5HT2B,Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,193.0,Antagonist,GtoPharm,144.54
5HT2B,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,97.0,Antagonist,GtoPharm,1.64
5HT2B,Clc1cccc(N2CCNCC2)c1,D0J6JT,Modulator,TTD,10.0
5HT2B,Clc1cncc(N2CCNCC2)n1,165.0,Agonist,GtoPharm,151.0
5HT2B,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,189.0,Antagonist,GtoPharm,22.39
5HT2B,NCCc1c[nH]c2ccc(O)cc12,5.0,Agonist,GtoPharm,13.0
5HT2B,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,86.0,Antagonist,GtoPharm,0.919
5HT2B,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,99.0,Antagonist,GtoPharm,0.977
5HT2B,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,88.0,Antagonist,GtoPharm,217.0
5HT2B,O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2,53.0,Antagonist,GtoPharm,173.0
5HT2B,c1ccc2c(N3CCNCC3)cccc2c1,3.0,Antagonist,GtoPharm,0.896
5HT2C,CC(=O)Nc1ccc(C(=O)CCCN2CCN(c3ccccn3)CC2)cc1.O=C(O)C(=O)O,CHEMBL4875079,Modulator,ChEMBL,245.47
5HT2C,CC(=O)Nc1ccc(CCCCN2CCN(c3ccccn3)CC2)cc1,CHEMBL4859988,Antagonist,ChEMBL,239.88
5HT2C,CC(C)n1nc2c(c1-c1ccc(F)cc1)CCNCC2,CHEMBL4753511,Antagonist,ChEMBL,50.12
5HT2C,CC(N)Cc1c[nH]c2ccc(O)cc12,D09OYA,Agonist,TTD,6.6
5HT2C,CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12,161.0,Agonist,GtoPharm,115.0
5HT2C,CC(N)Cn1ncc2ccc(O)cc21,D0Y0SA,Antagonist,TTD,34.0
5HT2C,CC1(CCCCN2CCN(c3ccccn3)CC2)Cc2cc(Cl)ccc2C1=O,CHEMBL4871868,Antagonist,ChEMBL,1096.48
5HT2C,CC1(CCCN2CCN(c3ccccn3)CC2)Cc2cc(Cl)ccc2C1=O,CHEMBL4846823,Modulator,ChEMBL,1448.0
5HT2C,CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21,2.0,Agonist,GtoPharm,3311.31
5HT2C,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,43.0,Agonist,GtoPharm,6.61
5HT2C,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,17.0,Agonist,GtoPharm,7.0
5HT2C,CCN(CC)C(=O)[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,154.0,Agonist,GtoPharm,5.3
5HT2C,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,134.0,Antagonist,GtoPharm,0.8
5HT2C,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,CHEMBL2028019,Antagonist,ChEMBL,198.2
5HT2C,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,38.0,Agonist,GtoPharm,19.9
5HT2C,CN1CCN2c3ccccc3Cc3ccccc3C2C1,135.0,Agonist,GtoPharm,2.6
5HT2C,CN1CCN2c3ncccc3Cc3ccccc3C2C1,7241.0,Antagonist,GtoPharm,39.81071705534969
5HT2C,CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,206.0,Agonist,GtoPharm,0.5
5HT2C,COc1cc(CC(C)N)c(OC)cc1Br,163.0,Agonist,GtoPharm,10.0
5HT2C,COc1cc(C[C@@H](C)N)c(OC)cc1I,157.0,Agonist,GtoPharm,4.0
5HT2C,COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1,187.0,Antagonist,GtoPharm,3.8
5HT2C,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2,192.0,Antagonist,GtoPharm,0.72
5HT2C,COc1ccc(Cl)cc1[C@H]1C[C@@H]1CNCCCCOc1ccc2c(c1)NC(=O)CC2,CHEMBL4862770,Agonist,ChEMBL,373.0
5HT2C,COc1ccc(Cl)cc1[C@H]1C[C@@H]1CNCCCOc1ccc2ccc(=O)[nH]c2c1,CHEMBL4875081,Agonist,ChEMBL,604.0
5HT2C,COc1ccc(F)cc1[C@H]1C[C@@H]1CNCCCCOc1ccc2ccc(=O)[nH]c2c1,CHEMBL4862890,Agonist,ChEMBL,122.3
5HT2C,COc1ccc(F)cc1[C@H]1C[C@@H]1CNCCCOc1ccc2ccc(=O)[nH]c2c1,CHEMBL4863832,Agonist,ChEMBL,304.6
5HT2C,COc1ccc2[nH]cc(CCN(C)C)c2c1,145.0,Agonist,GtoPharm,102.6
5HT2C,COc1ccc2[nH]cc(CCN)c2c1,107.0,Agonist,GtoPharm,215.0
5HT2C,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,185.0,Antagonist,GtoPharm,21.88
